date,store_nbr,family,onpromotion,sales
2017-06-16,1,AUTOMOTIVE,0,4.0
2017-06-16,1,BABY CARE,0,0.0
2017-06-16,1,BEAUTY,1,5.0
2017-06-16,1,BEVERAGES,17,2532.0
2017-06-16,1,BOOKS,0,1.0
2017-06-16,1,BREAD/BAKERY,0,370.159
2017-06-16,1,CELEBRATION,0,27.0
2017-06-16,1,CLEANING,15,851.0
2017-06-16,1,DAIRY,21,779.0
2017-06-16,1,DELI,46,133.194
2017-06-16,1,EGGS,26,172.0
2017-06-16,1,FROZEN FOODS,1,140.0
2017-06-16,1,GROCERY I,53,2991.0
2017-06-16,1,GROCERY II,0,33.0
2017-06-16,1,HARDWARE,0,2.0
2017-06-16,1,HOME AND KITCHEN I,3,15.0
2017-06-16,1,HOME AND KITCHEN II,2,24.0
2017-06-16,1,HOME APPLIANCES,0,1.0
2017-06-16,1,HOME CARE,10,161.0
2017-06-16,1,LADIESWEAR,0,19.0
2017-06-16,1,LAWN AND GARDEN,0,36.0
2017-06-16,1,LINGERIE,0,6.0
2017-06-16,1,"LIQUOR,WINE,BEER",4,177.0
2017-06-16,1,MAGAZINES,0,14.0
2017-06-16,1,MEATS,44,741.206
2017-06-16,1,PERSONAL CARE,7,119.0
2017-06-16,1,PET SUPPLIES,0,3.0
2017-06-16,1,PLAYERS AND ELECTRONICS,0,8.0
2017-06-16,1,POULTRY,39,552.06903
2017-06-16,1,PREPARED FOODS,0,71.789
2017-06-16,1,PRODUCE,3,2417.877
2017-06-16,1,SCHOOL AND OFFICE SUPPLIES,0,0.0
2017-06-16,1,SEAFOOD,7,50.231
2017-06-16,10,AUTOMOTIVE,0,1.0
2017-06-16,10,BABY CARE,0,0.0
2017-06-16,10,BEAUTY,2,3.0
2017-06-16,10,BEVERAGES,9,1021.0
2017-06-16,10,BOOKS,0,0.0
2017-06-16,10,BREAD/BAKERY,4,60.0
2017-06-16,10,CELEBRATION,0,0.0
2017-06-16,10,CLEANING,24,640.0
2017-06-16,10,DAIRY,20,191.0
2017-06-16,10,DELI,34,205.0
2017-06-16,10,EGGS,2,27.0
2017-06-16,10,FROZEN FOODS,0,21.0
2017-06-16,10,GROCERY I,68,2191.0
2017-06-16,10,GROCERY II,0,14.0
2017-06-16,10,HARDWARE,0,0.0
2017-06-16,10,HOME AND KITCHEN I,3,8.0
2017-06-16,10,HOME AND KITCHEN II,0,8.0
2017-06-16,10,HOME APPLIANCES,0,1.0
2017-06-16,10,HOME CARE,16,144.0
2017-06-16,10,LADIESWEAR,0,3.0
2017-06-16,10,LAWN AND GARDEN,0,0.0
2017-06-16,10,LINGERIE,0,4.0
2017-06-16,10,"LIQUOR,WINE,BEER",1,23.0
2017-06-16,10,MAGAZINES,0,1.0
2017-06-16,10,MEATS,2,111.997
2017-06-16,10,PERSONAL CARE,10,137.0
2017-06-16,10,PET SUPPLIES,0,2.0
2017-06-16,10,PLAYERS AND ELECTRONICS,0,4.0
2017-06-16,10,POULTRY,9,96.273
2017-06-16,10,PREPARED FOODS,1,13.0
2017-06-16,10,PRODUCE,1,188.869
2017-06-16,10,SCHOOL AND OFFICE SUPPLIES,0,0.0
2017-06-16,10,SEAFOOD,0,1.0
2017-06-16,11,AUTOMOTIVE,0,6.0
2017-06-16,11,BABY CARE,0,0.0
2017-06-16,11,BEAUTY,2,6.0
2017-06-16,11,BEVERAGES,16,3972.0
2017-06-16,11,BOOKS,0,0.0
2017-06-16,11,BREAD/BAKERY,3,444.0
2017-06-16,11,CELEBRATION,0,9.0
2017-06-16,11,CLEANING,34,1577.0
2017-06-16,11,DAIRY,29,531.0
2017-06-16,11,DELI,55,496.138
2017-06-16,11,EGGS,1,83.0
2017-06-16,11,FROZEN FOODS,1,75.0
2017-06-16,11,GROCERY I,72,6198.727
2017-06-16,11,GROCERY II,0,32.0
2017-06-16,11,HARDWARE,0,1.0
2017-06-16,11,HOME AND KITCHEN I,5,24.0
2017-06-16,11,HOME AND KITCHEN II,0,9.0
2017-06-16,11,HOME APPLIANCES,0,1.0
2017-06-16,11,HOME CARE,16,343.0
2017-06-16,11,LADIESWEAR,1,25.0
2017-06-16,11,LAWN AND GARDEN,0,4.0
2017-06-16,11,LINGERIE,0,4.0
2017-06-16,11,"LIQUOR,WINE,BEER",5,102.0
2017-06-16,11,MAGAZINES,0,3.0
2017-06-16,11,MEATS,0,381.09
2017-06-16,11,PERSONAL CARE,11,301.0
2017-06-16,11,PET SUPPLIES,0,1.0
2017-06-16,11,PLAYERS AND ELECTRONICS,0,17.0
2017-06-16,11,POULTRY,21,546.475
2017-06-16,11,PREPARED FOODS,3,73.85
2017-06-16,11,PRODUCE,3,974.888
2017-06-16,11,SCHOOL AND OFFICE SUPPLIES,0,2.0
2017-06-16,11,SEAFOOD,0,7.0
2017-06-16,12,AUTOMOTIVE,0,2.0
2017-06-16,12,BABY CARE,0,0.0
2017-06-16,12,BEAUTY,0,0.0
2017-06-16,12,BEVERAGES,9,1872.0
2017-06-16,12,BOOKS,0,0.0
2017-06-16,12,BREAD/BAKERY,3,162.0
2017-06-16,12,CELEBRATION,0,6.0
2017-06-16,12,CLEANING,19,630.0
2017-06-16,12,DAIRY,25,446.0
2017-06-16,12,DELI,49,287.0
2017-06-16,12,EGGS,1,62.0
2017-06-16,12,FROZEN FOODS,1,44.961
2017-06-16,12,GROCERY I,64,3061.0
2017-06-16,12,GROCERY II,0,15.0
2017-06-16,12,HARDWARE,0,1.0
2017-06-16,12,HOME AND KITCHEN I,2,15.0
2017-06-16,12,HOME AND KITCHEN II,0,11.0
2017-06-16,12,HOME APPLIANCES,0,0.0
2017-06-16,12,HOME CARE,17,144.0
2017-06-16,12,LADIESWEAR,0,8.0
2017-06-16,12,LAWN AND GARDEN,0,0.0
2017-06-16,12,LINGERIE,0,8.0
2017-06-16,12,"LIQUOR,WINE,BEER",4,62.0
2017-06-16,12,MAGAZINES,0,1.0
2017-06-16,12,MEATS,0,115.464
2017-06-16,12,PERSONAL CARE,7,98.0
2017-06-16,12,PET SUPPLIES,0,0.0
2017-06-16,12,PLAYERS AND ELECTRONICS,0,3.0
2017-06-16,12,POULTRY,14,149.791
2017-06-16,12,PREPARED FOODS,1,46.0
2017-06-16,12,PRODUCE,4,374.538
2017-06-16,12,SCHOOL AND OFFICE SUPPLIES,0,0.0
2017-06-16,12,SEAFOOD,0,0.0
2017-06-16,13,AUTOMOTIVE,0,2.0
2017-06-16,13,BABY CARE,0,0.0
2017-06-16,13,BEAUTY,1,4.0
2017-06-16,13,BEVERAGES,4,972.0
2017-06-16,13,BOOKS,0,0.0
2017-06-16,13,BREAD/BAKERY,2,71.0
2017-06-16,13,CELEBRATION,0,2.0
2017-06-16,13,CLEANING,18,639.0
2017-06-16,13,DAIRY,20,172.0
2017-06-16,13,DELI,34,166.0
2017-06-16,13,EGGS,0,70.0
2017-06-16,13,FROZEN FOODS,0,34.0
2017-06-16,13,GROCERY I,54,1907.0
2017-06-16,13,GROCERY II,0,6.0
2017-06-16,13,HARDWARE,0,1.0
2017-06-16,13,HOME AND KITCHEN I,2,17.0
2017-06-16,13,HOME AND KITCHEN II,0,5.0
2017-06-16,13,HOME APPLIANCES,0,0.0
2017-06-16,13,HOME CARE,13,134.0
2017-06-16,13,LADIESWEAR,0,0.0
2017-06-16,13,LAWN AND GARDEN,0,0.0
2017-06-16,13,LINGERIE,0,2.0
2017-06-16,13,"LIQUOR,WINE,BEER",2,51.0
2017-06-16,13,MAGAZINES,0,1.0
2017-06-16,13,MEATS,0,116.094
2017-06-16,13,PERSONAL CARE,9,89.0
2017-06-16,13,PET SUPPLIES,0,1.0
2017-06-16,13,PLAYERS AND ELECTRONICS,0,7.0
2017-06-16,13,POULTRY,13,95.291
2017-06-16,13,PREPARED FOODS,1,11.0
2017-06-16,13,PRODUCE,1,180.137
2017-06-16,13,SCHOOL AND OFFICE SUPPLIES,0,0.0
2017-06-16,13,SEAFOOD,0,1.0
2017-06-16,14,AUTOMOTIVE,0,4.0
2017-06-16,14,BABY CARE,0,0.0
2017-06-16,14,BEAUTY,0,0.0
2017-06-16,14,BEVERAGES,9,1094.0
2017-06-16,14,BOOKS,0,0.0
2017-06-16,14,BREAD/BAKERY,2,132.0
2017-06-16,14,CELEBRATION,0,7.0
2017-06-16,14,CLEANING,21,662.0
2017-06-16,14,DAIRY,19,301.0
2017-06-16,14,DELI,42,320.0
2017-06-16,14,EGGS,2,17.0
2017-06-16,14,FROZEN FOODS,1,47.0
2017-06-16,14,GROCERY I,60,2202.0
2017-06-16,14,GROCERY II,0,4.0
2017-06-16,14,HARDWARE,0,1.0
2017-06-16,14,HOME AND KITCHEN I,3,9.0
2017-06-16,14,HOME AND KITCHEN II,1,28.0
2017-06-16,14,HOME APPLIANCES,0,0.0
2017-06-16,14,HOME CARE,11,152.0
2017-06-16,14,LADIESWEAR,0,0.0
2017-06-16,14,LAWN AND GARDEN,0,0.0
2017-06-16,14,LINGERIE,0,3.0
2017-06-16,14,"LIQUOR,WINE,BEER",3,46.0
2017-06-16,14,MAGAZINES,0,3.0
2017-06-16,14,MEATS,0,242.68
2017-06-16,14,PERSONAL CARE,7,227.0
2017-06-16,14,PET SUPPLIES,0,2.0
2017-06-16,14,PLAYERS AND ELECTRONICS,0,5.0
2017-06-16,14,POULTRY,16,69.062
2017-06-16,14,PREPARED FOODS,1,85.0
2017-06-16,14,PRODUCE,2,368.318
2017-06-16,14,SCHOOL AND OFFICE SUPPLIES,0,0.0
2017-06-16,14,SEAFOOD,0,5.0
2017-06-16,15,AUTOMOTIVE,0,6.0
2017-06-16,15,BABY CARE,0,2.0
2017-06-16,15,BEAUTY,3,6.0
2017-06-16,15,BEVERAGES,11,1373.0
2017-06-16,15,BOOKS,0,0.0
2017-06-16,15,BREAD/BAKERY,3,102.0
2017-06-16,15,CELEBRATION,0,0.0
2017-06-16,15,CLEANING,24,732.0
2017-06-16,15,DAIRY,23,352.0
2017-06-16,15,DELI,49,382.0
2017-06-16,15,EGGS,1,31.0
2017-06-16,15,FROZEN FOODS,1,55.0
2017-06-16,15,GROCERY I,59,2386.0
2017-06-16,15,GROCERY II,0,20.0
2017-06-16,15,HARDWARE,0,1.0
